# S&P 500 Companies by Market Cap
# Ticker,Name,Price,Icon

NVDA,Nvidia,191.27,cib-nvidia
AAPL,Apple Inc.,276.43,cib-apple
MSFT,Microsoft,404.68,cib-microsoft
AMZN,Amazon,204.62,cib-amazon
GOOGL,Alphabet Inc. (Class A),311.20,cib-google
GOOG,Alphabet Inc. (Class C),311.62,cib-google
TSLA,Tesla Inc.,426.52,cib-tesla
V,Visa Inc.,329.54,cib-visa
MA,Mastercard,539.52,cib-mastercard
ORCL,Oracle Corporation,157.08,cib-oracle
CSCO,Cisco,85.82,cib-cisco
NFLX,Netflix,79.94,cib-netflix
PLTR,Palantir Technologies,135.59,cib-palantir
IBM,IBM,273.86,cib-ibm
AXP,American Express,355.18,cib-american-express
INTC,Intel,47.85,cib-intel
TMUS,T-Mobile US,207.62,cib-t-mobile
VZ,Verizon,48.55,cib-verizon
T,AT&T,28.21,cib-at-and-t
BA,Boeing,236.98,cib-boeing
CRM,Salesforce,184.94,cib-salesforce
QCOM,Qualcomm,141.90,cib-qualcomm
ADBE,Adobe Inc.,258.39,cib-adobe
STX,Seagate Technology,409.41,cib-seagate
FDX,FedEx,368.49,cib-fedex
DELL,Dell Technologies,124.37,cib-dell
ABNB,Airbnb,119.56,cib-airbnb
EBAY,eBay,82.95,cib-ebay
PYPL,PayPal,40.26,cib-paypal
